Cable Reference,From,To,Pole#,Manufacturer,Product Code,Cable Type,Cable Code,Cable Configuration,Cores,Cable Size (mm²),Conductor (Active),Insulation,Sheath,Shield,Cable Capacity (A),Phase Conductor Impedance (Ohms),Phase Conductor Resistance (Ohms),Phase Conductor Reactance (Ohms),Neutral Size (mm²),Neutral Conductor Impedance (Ohms),Neutral Conductor Resistance (Ohms),Neutral Conductor Reactance (Ohms),Earth Size (mm²),Conductor (Earth),Earth Zero Sequence Impedance (Ohms),Earth Zero Sequence Resistance (Ohms),Earth Zero Sequence Reactance (Ohms),Separate Earth for Multicore,Cable Length (m),Cable Max. Length (m),Derating Factor,Conductor Temperature,Ambient Temperature,Function,Voltage (Vac),Voltage Drop (%),Voltage Drop (Volts),Target Voltage Drop (%),Accum. Voltage Drop % (Incl. FSC),Accum. Voltage Drop % (Excl. FSC),Load (A),Load Power Factor,Load THD% (Ref. Fund),Prospective Fault at Start of Cable (kA),Prospective Fault at End of Cable (kA),Prospective Earth Fault If (kA),Cable Selection Criteria,Earth Fault Impedance Zs (Ohms),Max. Allowable Earth Fault Impedance Zs (Ohms),Total Cable Run Weight (Incl. N & E) (kg),Price ($),Depth of Burial (m),Soil Resistivity (?C.m/W),AS/NSZ 3008 Cable Derating Factor,Addition Cable Derating,Combined Cable Derating Factor,Additional Circuits,No. of Conduits,Conduit Size (mm),Circuit Description,Design Progress,Active Conductor Thermal Stress Limit (A²s),Earth Conductor Thermal Stress Limit (A²s),Protective Device Let-Through Energy - Active Conductor (A²s),Protective Device Let-Through Energy - Earth Conductor (A²s)
C207,MDB-3-A,DB-L1-SCN-A.01,P20,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.018603527,0.017893633,0.0050901,70,0.017277796,0.016511,0.0050901,25,Cu,0.045132259,0.044726,0.006042,,57,187.4,0.97,62.74,40,,400,1.22,4.87,2.08877,4.13,2.63,157,1,0,32.59,10.13,2.97, ,0.073073,0.659846,181.26,4948.26,,,0.97,,0.97,0,,,,,121919164.5,11543394.3,2044682.818,561127.3977
C208,MDB-3-A,DB-L1-BIPU-A.01,P23,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.029700368,0.028567028,0.0081263,70,0.02758385,0.026359667,0.0081263,25,Cu,0.072053256,0.071404667,0.009646,,91,187.4,0.97,62.74,40,,400,1.94,7.77,2.08877,4.85,3.35,157,1,0,32.59,6.99,1.96, ,0.110865,0.666511,289.38,7899.85,,,0.97,,0.97,0,,,,,121919164.5,11543394.3,2044682.818,575120.5647
C209,MDB-3-A,DB-L1-BIPU-A.02,P26,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.019256282,0.01852148,0.0052687,70,0.017884035,0.017090333,0.0052687,25,Cu,0.046715847,0.046295333,0.006254,,59,187.4,0.97,62.74,40,,400,1.26,5.04,2.08877,4.17,2.67,157,1,0,32.59,9.87,2.88, ,0.075292,0.666511,187.62,5121.88,,,0.97,,0.97,0,,,,,121919164.5,11543394.3,2044682.818,528540.8026
C210,MDB-3-A,DB-L1-PAEDS-A.01,P29,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.006201176,0.005964544,0.0016967,70,0.005759265,0.005503667,0.0016967,25,Cu,0.015044086,0.014908667,0.002014,,19,187.4,0.97,62.74,40,,400,0.41,1.62,2.08877,3.32,1.82,157,1,0,32.59,19.65,6.94, ,0.031259,0.666511,60.42,1649.42,,,0.97,,0.97,0,,,,,121919164.5,11543394.3,2044682.818,837320.8444
C211,MDB-3-A,DB-L2-IPU1-A.01,P32,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.026809091,0.024950404,0.0098084,95,0.025572786,0.023617,0.0098084,25,Cu,0.089472725,0.088667333,0.011978,,113,266.5,0.97,54.75,40,,400,1.7,6.78,2.08877,4.61,3.11,157,1,0,32.59,7.5,1.74, ,0.125079,0.659846,485.9,13637.24,,,0.97,,0.97,0,,,,,237079928.3,11543394.3,2044682.818,574553.062
C212,MDB-3-A,DB-L2-IPU2-A.01,P35,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.008159442,0.007848085,0.0022325,70,0.007577981,0.007241667,0.0022325,25,Cu,0.019794851,0.019616667,0.00265,,25,187.4,0.97,62.74,40,,400,0.53,2.13,2.08877,3.44,1.94,157,1,0,32.59,17.21,5.75, ,0.037774,0.659846,79.5,2170.29,,,0.97,,0.97,0,,,,,121919164.5,11543394.3,2044682.818,2099857.063
C213,MDB-3-A,DB-L1-CSSD-A.01,P38,Olex,BDBP27AA001,,6,2,S.D.I,300,Cu,XLPE 90°C,PVC,No Shield,628.56,0.009337632,0.006403998,0.0067956,300,0.008942529,0.0058128,0.0067956,120,Cu,0.015817448,0.014028,0.007308,,84,242.3,0.97,71.64,40,,400,1.39,5.55,2.08877,4.3,2.8,500,1,0,32.59,14.72,5.95, ,0.036496,0.156626,1127.28,31514.99,,,0.97,,0.97,0,,,,,2104141706,265959804.8,7423894.423,4949075.594
C214,MDB-3-A,DB-DC-UPS-INPUT-A ENCLOSED DUAL 250A ATyS,P41,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.007846377,0.007370565,0.0026908,95,0.007015543,0.006479,0.0026908,25,Cu,0.024545615,0.024324667,0.003286,,31,155.4,0.97,77.4,40,,400,0.8,3.19,1.06151,3.71,2.21,250,1,0,32.59,17.28,5.16,I,0.042109,0.422302,133.3,3741.19,,,0.97,,0.97,0,,,,,202428942.2,11543394.3,2062309.67,1689774.581
C613,G-03,DB-DC-UPS-INPUT-A ENCLOSED DUAL 250A ATyS,,Olex,BDBP27AA001,,6,2,S.D.I,2×300,Cu,XLPE 90°C,PVC,No Shield,1153.44,0.003097267,0.002022098,0.0023461,2×300,0.003087302,0.0020068,0.0023461,120,Cu,0.010921571,0.009686,0.005046,,58,1046,0.89,42.4,40,,400,0.22,0.88,2.66364,0.22,0.22,250,1,0,1.89,1.85,1.78, ,0.121654,0.357516,1488.28,41392.7,,,0.89,,0.89,0,,,,,2564264893,265959804.8,890313.4313,1012267.517
C708,DB-DC-UPS-INPUT-A ENCLOSED DUAL 250A ATyS,DB-DC-UPS-INPUT,P2,Olex,HTHC22AA004,,5,2,"Circ, 4C&E",95,Cu,XLPE 90°C,PVC,No Shield,283,0.002499604,0.002392153,0.000725,95,0.002224778,0.002103333,0.000725,25,Cu,0.007888158,0.007846667,0.000808,No,10,193.1,1,79.02,40,,400,0.26,1.04,0.43029,3.97,2.47,250,1,0,17.28,14.87,4.15,I,0.052354,0.422302,130.8,1574.59,,,1,,1,0,,,,Preliminary,200049546.5,18084221.15,1419938.79,1093171.319
C709,DB-DC-UPS-INPUT,50kW UPS,P2,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.004837742,0.004779095,0.000751,50,0.004250209,0.004183333,0.000751,16,Cu,0.012392839,0.012366667,0.000805,No,10,151,1,79.51,40,,400,0.33,1.32,0.51596,4.3,2.8,160,1,0,14.87,11.77,3.13,I,0.069263,0.659846,67.2,786.43,,,1,,1,0,,,,Preliminary,55217742.21,7407296.985,923962.6973,624562.2531
C713,50kW UPS,DB-DC-UPS OUTPUT 1,P2,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.004611876,0.004550319,0.000751,50,0.004250209,0.004183333,0.000751,16,Cu,0.012392839,0.012366667,0.000805,No,10,203,1,64.11,40,,400,0.25,0.99,0.70082,4.55,3.05,125,1,0,11.77,9.74,2.52,P,0.086084,0.666511,67.2,786.43,,,1,,1,0,,,,Preliminary,61617350.78,7407296.985,784513.5954,404326.3178
C714,50kW UPS,125A LOAD BANK CONNECTION POINT,P5,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.004611876,0.004550319,0.000751,50,0.004250209,0.004183333,0.000751,16,Cu,0.012392839,0.012366667,0.000805,No,10,203,1,64.11,40,,400,0.25,0.99,0.70082,4.55,3.05,125,1,0,11.77,9.74,2.52,P,0.086084,0.666511,67.2,786.43,,,1,,1,0,,,,Preliminary,61617350.78,7407296.985,784513.5954,404326.3178
C710,DB-DC-UPS-INPUT,50kW UPS EXT BYPASS,P5,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.004611876,0.004550319,0.000751,50,0.004250209,0.004183333,0.000751,16,Cu,0.012392839,0.012366667,0.000805,No,10,203,1,64.11,40,,400,0.25,0.99,1.03193,4.21,2.71,125,1,0,14.87,11.88,3.14,P,0.069055,0.710946,67.2,786.43,,,1,,1,0,,,,Preliminary,61617350.78,7407296.985,923962.6973,628326.2869
C711,DB-DC-UPS-INPUT,CRAC-01,P8,Olex,,,5,2,"Circ, 4C&E",10,Cu,XLPE 90°C,PVC,No Shield,66,0.021096864,0.021080135,0.00084,10,0.019751204,0.019733333,0.00084,4,Cu,0.0497087,0.0497,0.00093,No,10,79.6,1,58.37,40,,400,0.37,1.46,1.03193,4.33,2.83,40,1,0,14.87,6.85,1.78, ,0.121708,0.61368,,,,,1,,1,0,,,,Preliminary,2563664.198,462956.0615,77914.96621,8708.096386
C712,DB-DC-UPS-INPUT,MASDS (FIRE PANEL),P11,Olex,,,5,2,"Circ, 4C&E",2.5,Cu,XLPE 90°C,PVC,No Shield,28,0.081800865,0.081794898,0.000988,2.5,0.07997277,0.079966667,0.000988,2.5,Cu,0.07997277,0.079966667,0.000988,No,10,72.9,1,46.38,40,,400,0.35,1.42,1.03193,4.32,2.82,10,1,0,14.87,2.57,1.02, ,0.211907,1.22736,,,,,1,,1,0,,,,Preliminary,173531.8451,180842.2115,61202.12099,3557.89916
C215,MDB-3-A,UPS INPUT DB A 250A ENCLOSED ATyS,P44,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.003930359,0.003549419,0.001688,120,0.003742318,0.00334,0.001688,35,Cu,0.011492254,0.011313333,0.00202,,20,260.3,0.97,57.45,40,,400,0.31,1.23,0.30739,3.22,1.72,200,1,0,32.59,22.63,8.38, ,0.02592,0.422302,105.4,3089.85,,,0.97,,0.97,0,,,,,371459540.6,22625052.84,2062309.67,804100.4137
C701,UPS INPUT DB A 250A ENCLOSED ATyS,UPS-INPUT DB,P2,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.00098259,0.000887355,0.000422,120,0.000935579,0.000835,0.000422,35,Cu,0.002873064,0.002828333,0.000505,,5,94.6,0.97,57.45,40,,400,0.08,0.31,0.07685,3.3,1.8,200,1,0,22.63,20.91,7.33, ,0.029615,0.098248,26.35,772.46,,,0.97,,0.97,0,,,,Preliminary,371459540.6,22625052.84,959838.0098,265666.4395
C702,UPS-INPUT DB,100kW UPS,P2,Olex,HTHC22AA004,,5,2,"Circ, 4C&E",95,Cu,XLPE 90°C,PVC,No Shield,283,0.001199327,0.001143231,0.0003625,95,0.001112389,0.001051667,0.0003625,25,Cu,0.003944079,0.003923333,0.000404,No,5,66.8,1,64.97,40,,400,0.1,0.4,0.09901,3.39,1.89,200,1,0,20.91,19.22,6.28, ,0.034562,0.098248,65.4,787.29,,,1,,1,0,,,,Preliminary,221117531.2,18084221.15,867767.9387,218709.8661
C706,100kW UPS,UPS OUTPUT DB (STAGE 3),P2,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.001219288,0.001139432,0.000434,95,0.001131539,0.001045,0.000434,25,Cu,0.00395897,0.003923333,0.00053,,5,202.7,0.97,63.94,40,,400,0.1,0.39,0.09868,3.49,1.99,200,1,0,19.22,17.68,5.49, ,0.039566,0.459024,21.5,603.42,,,0.97,,0.97,0,,,,,222710410.2,11543394.3,1528195.797,1913992.703
C601,UPS OUTPUT DB (STAGE 3),DB-G-ICU1-U.01,P2,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.049072283,0.048332925,0.0084863,50,0.048027365,0.047271667,0.0084863,16,Cu,0.140039086,0.139743333,0.0090965,No,113,342.8,1,46.13,40,,400,1.32,5.27,1.50685,4.81,3.31,63,1,0,17.68,4.02,0.95, ,0.227555,1.146686,759.36,8886.65,,,1,,1,0,,,,,69527266.1,7407296.985,1405052.219,178085.3126
C602,UPS OUTPUT DB (STAGE 3),DB-L1-OT-U.01,P5,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.029690995,0.028453214,0.0084835,70,0.028796327,0.027518333,0.0084835,25,Cu,0.075220432,0.074543333,0.01007,,95,308.4,0.97,49.23,40,,400,1.23,4.93,1.50685,4.73,3.23,100,1,0,17.68,5.77,1.51, ,0.143422,1.055754,302.1,8247.09,,,0.97,,0.97,0,,,,,133531239,11543394.3,1405052.219,436985.768
C603,UPS OUTPUT DB (STAGE 3),DB-L1-OT-U.02,P8,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.028228929,0.025273044,0.0125756,120,0.027880269,0.024883,0.0125756,35,Cu,0.085617295,0.084284333,0.015049,,149,544.6,0.97,44.36,40,,400,1.09,4.38,1.50685,4.59,3.09,100,1,0,17.68,5.88,1.43, ,0.152143,1.055754,785.23,23019.35,,,0.97,,0.97,0,,,,,405096363.1,22625052.84,1405052.219,388325.9492
C604,UPS OUTPUT DB (STAGE 3),DB-L1-CSSD-U.01,P11,Olex,HTHC18AA004,,5,2,"Circ, 4C&E",35,Cu,XLPE 90°C,PVC,No Shield,147,0.046602582,0.046187054,0.0062094,35,0.045117006,0.044687667,0.0062094,10,Cu,0.156034509,0.155893333,0.006636,No,79,250.8,1,49.18,40,,400,1.26,5.04,1.50685,4.75,3.25,63,1,0,17.68,4.2,0.9, ,0.240443,1.146686,395.79,4481.17,,,1,,1,0,,,,,33392073.22,2893475.385,1405052.219,175337.7833
C605,UPS OUTPUT DB (STAGE 3),DB-L1-SCN-U.01,P14,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.049727265,0.049490381,0.004848,25,0.04732895,0.04708,0.004848,6,Cu,0.199271081,0.1992,0.005322,No,60,177.8,1,54.01,40,,400,1.35,5.4,1.50685,4.84,3.34,63,1,0,17.68,4.01,0.76,P,0.286233,1.146686,223.2,2297.48,,,1,,1,0,,,,,16499392.72,1041651.138,1405052.219,172942.404
C606,UPS OUTPUT DB (STAGE 3),DB-L1-BIPU-U.01,P17,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.042558263,0.04191705,0.0073598,50,0.041652051,0.040996667,0.0073598,16,Cu,0.121449827,0.121193333,0.007889,No,98,342.8,1,46.13,40,,400,1.14,4.57,1.50685,4.64,3.14,63,1,0,17.68,4.49,1.07, ,0.202451,1.146686,658.56,7707,,,1,,1,0,,,,,69527266.1,7407296.985,1405052.219,219312.1848
C607,UPS OUTPUT DB (STAGE 3),DB-L1-BIPU-U.02,P20,Olex,HTHC18AA004,,5,2,"Circ, 4C&E",35,Cu,XLPE 90°C,PVC,No Shield,147,0.052346003,0.051876473,0.0069954,35,0.050828019,0.050344333,0.0069954,10,Cu,0.175785712,0.175626667,0.007476,No,89,264.1,1,48.33,40,,400,1.35,5.39,1.50685,4.84,3.34,60,1,0,17.68,3.83,0.82, ,0.265923,1.146686,445.89,5048.41,,,1,,1,0,,,,,33580118.42,2893475.385,1405052.219,176265.6865
C608,UPS OUTPUT DB (STAGE 3),DB-L1-PAEDS-U.01,P23,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.026521208,0.02639487,0.0025856,25,0.025242107,0.025109333,0.0025856,6,Cu,0.10627791,0.10624,0.0028384,No,32,177.8,1,54.01,40,,400,0.72,2.88,1.50685,4.21,2.71,63,1,0,17.68,6.4,1.27,P,0.170334,1.146686,119.04,1225.32,,,1,,1,0,,,,,16499392.72,1041651.138,1405052.219,309813.4236
C609,UPS OUTPUT DB (STAGE 3),DB-L2-IPU1-U.01,P26,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.046900943,0.0461943,0.0081108,50,0.04590226,0.04518,0.0081108,16,Cu,0.133842666,0.13356,0.008694,No,108,342.8,1,46.13,40,,400,1.26,5.04,1.50685,4.75,3.25,63,1,0,17.68,4.16,0.99, ,0.219186,1.146686,725.76,8493.43,,,1,,1,0,,,,,69527266.1,7407296.985,1405052.219,187101.4104
C610,UPS OUTPUT DB (STAGE 3),DB-L2-IPU2-U.01,P29,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.030665147,0.030519068,0.0029896,25,0.029186186,0.029032667,0.0029896,6,Cu,0.122883833,0.12284,0.0032819,No,37,177.8,1,54.01,40,,400,0.83,3.33,1.50685,4.33,2.83,63,1,0,17.68,5.79,1.14,P,0.191009,1.146686,137.64,1416.78,,,1,,1,0,,,,,16499392.72,1041651.138,1405052.219,246372.3047
C611,UPS OUTPUT DB (STAGE 3),DB-L2-PLANT-U.01,P32,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.040821191,0.04020615,0.0070594,50,0.039951967,0.039323333,0.0070594,16,Cu,0.116492691,0.116246667,0.007567,No,94,342.8,1,46.13,40,,400,1.1,4.39,1.50685,4.59,3.09,63,1,0,17.68,4.64,1.11, ,0.195758,1.146686,631.68,7392.43,,,1,,1,0,,,,,69527266.1,7407296.985,1405052.219,234564.7618
C612,UPS OUTPUT DB (STAGE 3),DB-L3-PLANT-U.01,P35,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.035637873,0.035468106,0.0034744,25,0.033919081,0.033740667,0.0034744,6,Cu,0.142810941,0.14276,0.0038141,No,43,177.8,1,54.01,40,,400,0.97,3.87,1.50685,4.46,2.96,63,1,0,17.68,5.19,1.01,P,0.215836,1.146686,159.96,1646.53,,,1,,1,0,,,,,16499392.72,1041651.138,1405052.219,192954.1798
C707,UPS OUTPUT DB (STAGE 3),DB-DC-UPS OUTPUT 2,P38,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.008250707,0.008211048,0.000808,25,0.007888158,0.007846667,0.000808,6,Cu,0.033211847,0.0332,0.000887,No,10,234.4,1,52.71,40,,400,0.21,0.85,1.50685,3.71,2.21,60,1,0,17.68,11.71,2.72,P,0.079708,1.146686,37.2,382.91,,,1,,1,0,,,,Preliminary,16643452.47,1041651.138,919205.3578,471598.0472
C705,100kW UPS,200A LOAD BANK,P5,Olex,HTHC22AA004,,5,2,"Circ, 4C&E",95,Cu,XLPE 90°C,PVC,No Shield,283,0.002398653,0.002286463,0.000725,95,0.002224778,0.002103333,0.000725,25,Cu,0.007888158,0.007846667,0.000808,No,10,62.1,1,64.97,40,,400,0.2,0.79,1.60553,3.59,2.09,200,1,0,19.22,16.46,4.87, ,0.044594,0.098248,130.8,1574.59,,,1,,1,0,,,,Preliminary,221117531.2,18084221.15,778925.5621,159083.7811
C703,UPS-INPUT DB,100kW UPS INTERNAL BYPASS,P5,Olex,HTHC22AA004,,5,2,"Circ, 4C&E",95,Cu,XLPE 90°C,PVC,No Shield,283,0.002398653,0.002286463,0.000725,95,0.002224778,0.002103333,0.000725,25,Cu,0.007888158,0.007846667,0.000808,No,10,67,1,64.97,40,,400,0.2,0.79,1.70453,3.49,1.99,200,1,0,20.91,17.75,5.49, ,0.039561,0.098248,130.8,1574.59,,,1,,1,0,,,,Preliminary,221117531.2,18084221.15,867767.9387,184675.255
C704,UPS-INPUT DB,100kW UPS EXTERNAL BYPASS,P8,Olex,HTHC22AA004,,5,2,"Circ, 4C&E",95,Cu,XLPE 90°C,PVC,No Shield,283,0.002398653,0.002286463,0.000725,95,0.002224778,0.002103333,0.000725,25,Cu,0.007888158,0.007846667,0.000808,No,10,67,1,64.97,40,,400,0.2,0.79,1.70453,3.49,1.99,200,1,0,20.91,17.75,5.49, ,0.039561,0.098248,130.8,1574.59,,,1,,1,0,,,,Preliminary,221117531.2,18084221.15,867767.9387,184675.255
C216,MDB-3-A,DB-G-ICU1-A.01,P47,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,335.04,0.02065518,0.018657476,0.008862,120,0.019647169,0.017535,0.008862,35,Cu,0.060334336,0.059395,0.010605,,105,259.9,0.96,57.82,40,,400,1.62,6.46,2.08877,4.53,3.03,200,1,0,32.59,9.12,2.4, ,0.090299,0.459024,553.35,16221.69,,,0.96,,0.96,5,,,,,370542106.6,22625052.84,2062309.67,1114239.017
C217,MDB-3-A,DB-G-ICU2-A.01,P50,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.018276169,0.0165048,0.0078492,120,0.017401779,0.015531,0.0078492,35,Cu,0.053438983,0.052607,0.009393,,93,260.3,0.97,57.45,40,,400,1.43,5.72,2.08877,4.34,2.84,200,1,0,32.59,9.99,2.68, ,0.081119,0.459024,490.11,14367.78,,,0.97,,0.97,0,,,,,371459540.6,22625052.84,2062309.67,1366005.109
C218,MDB-3-A,MSSB-3ACV.01,P53,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.020436994,0.020352323,0.0018584,25,0.018142764,0.018047333,0.0018584,6,Cu,0.076387248,0.07636,0.0020401,No,23,92.3,1,75.31,40,,400,0.88,3.53,2.08877,3.79,2.29,100,1,0,32.59,9.78,2.07,I,0.105047,0.3964,85.56,880.7,,,1,,1,0,,,,,14232827.18,1041651.138,948994.4708,34303.17467
C219,MDB-3-A,DB-PUMP ROOM,P56,Olex,BDBC20AA001,,6,13,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232,0.022995474,0.022078316,0.0064296,70,0.02072649,0.019704,0.0064296,25,Cu,0.053942631,0.0534,0.007632,,72,183.7,1,55.92,25,,400,1.53,6.12,2.08877,4.44,2.94,160,1,0,32.59,8.6,2.52, ,0.086241,0.205325,228.96,6250.43,0.5,1.2,1,,1,0,3,HD 3×32,,,127715794.7,13332016.85,1037474.844,50958.14123
C113,G-01,MSB-3 (STAGE 3) (Bus SAFETY SERVICES),,Olex,BDBP27AA001,,6,13,S.D.I,7×300,Cu,XLPE 90°C,PVC,No Shield,3864,0.000254266,0.000174523,0.000184914,7×300,0.0002385,0.000150629,0.000184914,5×120,Cu,0.000577181,0.0005056,0.0002784,,16,321.7,1,72.15,25,,400,0.25,0.99,0.31239,0.25,0.25,0,1,0,23.79,23.31,19,P,0.011428,0.030836,1465.28,40845.92,0.5,1.2,1,,1,0,21,HD 21×50,,,2096513727,7679241705,152757962.5,123886661.8
C105,MSB-3 (STAGE 3) (Bus J),MDB-3-B,P17,Olex,BDBP27AA001,,6,2,S.D.I,6×300,Cu,XLPE 90°C,PVC,No Shield,3460.32,0.001959896,0.001311744,0.0014562,6×300,0.001916256,0.0012456,0.0014562,4×120,Cu,0.00508418,0.004509,0.002349,,108,380.3,0.89,56.7,40,,400,1.14,4.54,1.44955,2.85,1.35,2000,1,0,43.33,32.72,17.92, ,0.012114,0.045818,8441.28,235190.69,,,0.89,,0.89,0,,,,,2333388061,4255356877,56317820.63,12250155.44
C301,MDB-3-B,DB-DC-UPS-INPUT-B ENCLOSED DUAL 250A ATyS,P2,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.006580832,0.006181764,0.0022568,95,0.005884004,0.005434,0.0022568,25,Cu,0.020586645,0.020401333,0.002756,,26,155.4,0.97,77.4,40,,400,0.67,2.68,2.15232,3.52,2.02,250,1,0,32.72,18.9,5.84,I,0.037166,0.422302,111.8,3137.77,,,0.97,,0.97,0,,,,,202428942.2,11543394.3,2066235.572,2169159.542
C302,MDB-3-B,UPS INPUT DB B 250A ENCLOSED ATyS,P5,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.010905936,0.010524902,0.0028576,70,0.009699815,0.009269333,0.0028576,25,Cu,0.025337409,0.025109333,0.003392,,32,140.4,0.97,76.9,40,,400,0.91,3.65,2.15232,3.76,2.26,200,1,0,32.72,14.68,4.71,I,0.046052,0.459024,101.76,2777.97,,,0.97,,0.97,0,,,,,110303973.3,11543394.3,2066235.572,1412830.307
