Cable Reference,From,To,Pole#,Manufacturer,Product Code,Cable Type,Cable Code,Cable Configuration,Cores,Cable Size (mm²),Conductor (Active),Insulation,Sheath,Shield,Cable Capacity (A),Phase Conductor Impedance (Ohms),Phase Conductor Resistance (Ohms),Phase Conductor Reactance (Ohms),Neutral Size (mm²),Neutral Conductor Impedance (Ohms),Neutral Conductor Resistance (Ohms),Neutral Conductor Reactance (Ohms),Earth Size (mm²),Conductor (Earth),Earth Zero Sequence Impedance (Ohms),Earth Zero Sequence Resistance (Ohms),Earth Zero Sequence Reactance (Ohms),Separate Earth for Multicore,Cable Length (m),Cable Max. Length (m),Derating Factor,Conductor Temperature,Ambient Temperature,Function,Voltage (Vac),Voltage Drop (%),Voltage Drop (Volts),Target Voltage Drop (%),Accum. Voltage Drop % (Incl. FSC),Accum. Voltage Drop % (Excl. FSC),Load (A),Load Power Factor,Load THD% (Ref. Fund),Prospective Fault at Start of Cable (kA),Prospective Fault at End of Cable (kA),Prospective Earth Fault If (kA),Cable Selection Criteria,Earth Fault Impedance Zs (Ohms),Max. Allowable Earth Fault Impedance Zs (Ohms),Total Cable Run Weight (Incl. N & E) (kg),Price ($),Depth of Burial (m),Soil Resistivity (?C.m/W),AS/NSZ 3008 Cable Derating Factor,Addition Cable Derating,Combined Cable Derating Factor,Additional Circuits,No. of Conduits,Conduit Size (mm),Circuit Description,Design Progress,Active Conductor Thermal Stress Limit (A²s),Earth Conductor Thermal Stress Limit (A²s),Protective Device Let-Through Energy - Active Conductor (A²s),Protective Device Let-Through Energy - Earth Conductor (A²s)
C303,MDB-3-B,MSSB-3AS-PTS.01,P8,Olex,HTHP15AA004,,5,2,"Circ, 4C&E",16,Cu,XLPE 90°C,PVC,No Shield,88,0.051263983,0.051167758,0.0031395,16,0.048332074,0.04823,0.0031395,6,Cu,0.129526203,0.12948,0.0034593,No,39,140.8,1,56.14,40,,400,1.11,4.43,2.15232,3.96,2.46,50,1,0,32.72,4.44,1.15, ,0.188996,2.111508,104.13,1058.06,,,1,,1,0,,,,,6662359.263,1041651.138,1203590.913,94580.90995
C304,MDB-3-B,MSSB-3AL.01,P11,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.044348614,0.044141371,0.0042824,25,0.041807239,0.041587333,0.0042824,6,Cu,0.176022788,0.17596,0.0047011,No,53,160.7,1,56.81,40,,400,1.32,5.28,2.15232,4.17,2.67,69,1,0,32.72,5.05,0.95, ,0.228572,1.466325,197.16,2029.44,,,1,,1,0,,,,Designed,16192375.45,1041651.138,1203590.913,172050.9324
C305,MDB-3-B,HYD-L2-DHW.01,P14,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.022999436,0.021536258,0.0080724,95,0.021046629,0.019437,0.0080724,25,Cu,0.073636844,0.072974,0.009858,,93,181.3,0.97,68.96,40,,400,2.05,8.21,2.15232,4.9,3.4,220,1,0,32.72,8.52,2.05, ,0.105782,0.4788,399.9,11223.57,,,0.97,,0.97,0,,,,,215033587.7,11543394.3,2066235.572,992393.3988
C306,MDB-3-B,DB-L1-OT-B.01,P17,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.018974169,0.017235924,0.0079336,120,0.017588895,0.015698,0.0079336,35,Cu,0.054013596,0.053172667,0.009494,,94,201.5,0.97,67.27,40,,400,1.87,7.46,2.15232,4.71,3.21,250,1,0,32.72,9.76,2.63, ,0.082566,0.422302,495.38,14522.28,,,0.97,,0.97,0,,,,,347207226.9,22625052.84,2066235.572,439518.425
C307,MDB-3-B,DB-L1-OT-B.02,P20,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.023189118,0.020941574,0.0099592,120,0.022079676,0.019706,0.0099592,35,Cu,0.067804301,0.066748667,0.011918,,118,260.3,0.97,57.45,40,,400,1.81,7.25,2.15232,4.66,3.16,200,1,0,32.72,8.36,2.16, ,0.100366,0.527877,621.86,18230.09,,,0.97,,0.97,0,,,,,371459540.6,22625052.84,2066235.572,892331.0745
C308,MDB-3-B,DB-L1-OT-B.03,P23,Olex,BDBP24AA001,,6,2,S.D.I,150,Cu,XLPE 90°C,PVC,No Shield,390.91,0.022604316,0.019423099,0.0115628,150,0.021889498,0.018586333,0.0115628,50,Cu,0.05885202,0.057357333,0.0131794,,137,325.8,0.97,53.09,40,,400,1.68,6.73,2.15232,4.53,3.03,200,1,0,32.72,8.43,2.38, ,0.091096,0.527877,898.72,26022.9,,,0.97,,0.97,0,,,,,597660697.4,46173577.22,2066235.572,1083194.84
C309,MDB-3-B,DB-L1-OT-B.04,P26,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.02115284,0.019691722,0.0077252,95,0.020141398,0.018601,0.0077252,25,Cu,0.070469668,0.069835333,0.009434,,89,260.9,0.97,55.32,40,,400,1.36,5.46,2.15232,4.21,2.71,160,1,0,32.72,9.07,2.15, ,0.10077,0.659846,382.7,10740.83,,,0.97,,0.97,0,,,,,236176557.9,11543394.3,1386404.243,295062.8169
C310,MDB-3-B,DB-L1-SCN-B.01,P29,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.016363896,0.015742963,0.004465,70,0.015155962,0.014483333,0.004465,25,Cu,0.039589701,0.039233333,0.0053,,50,183.4,0.97,63.62,40,,400,1.09,4.36,2.15232,3.94,2.44,160,1,0,32.72,11.17,3.31, ,0.065521,0.659846,159,4340.57,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,1386404.243,697944.2178
C311,MDB-3-B,DB-L1-BIPU-B.01,P32,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.028473179,0.027392755,0.0077691,70,0.026371373,0.025201,0.0077691,25,Cu,0.06888608,0.068266,0.009222,,87,183.4,0.97,63.62,40,,400,1.9,7.59,2.15232,4.75,3.25,160,1,0,32.72,7.25,2.04, ,0.106657,0.659846,276.66,7552.6,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,1386404.243,263393.8246
C312,MDB-3-B,DB-L1-BIPU-B.02,P35,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.027164068,0.026133318,0.0074119,70,0.025158896,0.024042333,0.0074119,25,Cu,0.065718904,0.065127333,0.008798,,83,183.4,0.97,63.62,40,,400,1.81,7.24,2.15232,4.66,3.16,160,1,0,32.72,7.54,2.12, ,0.102202,0.659846,263.94,7205.35,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,1386404.243,286852.8526
C313,MDB-3-B,DB-L1-PAEDS-B.01,P38,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.021600343,0.020780711,0.0058938,70,0.020005869,0.019118,0.0058938,25,Cu,0.052258406,0.051788,0.006996,,66,183.4,0.97,63.62,40,,400,1.44,5.76,2.15232,4.29,2.79,160,1,0,32.72,9.06,2.61, ,0.083287,0.659846,209.88,5729.56,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,1386404.243,431942.801
C314,MDB-3-B,DB-L2-IPU1-B.01,P41,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.017825427,0.016594148,0.00651,95,0.016973088,0.015675,0.00651,25,Cu,0.059384552,0.05885,0.00795,,75,260.9,0.97,55.32,40,,400,1.15,4.6,2.15232,4,2.5,160,1,0,32.72,10.31,2.51, ,0.086481,0.659846,322.5,9051.26,,,0.97,,0.97,0,,,,,236176557.9,11543394.3,1386404.243,400629.7691
C315,MDB-3-B,DB-L2-IPU2-B.01,P44,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.022909455,0.022040148,0.006251,70,0.021218346,0.020276667,0.006251,25,Cu,0.055425582,0.054926667,0.00742,,70,183.4,0.97,63.62,40,,400,1.53,6.11,2.15232,4.37,2.87,160,1,0,32.72,8.65,2.47, ,0.087735,0.659846,222.6,6076.81,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,1386404.243,389255.8831
C316,MDB-3-B,DB-L1-CSSD-B.01,P47,Olex,BDBP27AA001,,6,2,S.D.I,300,Cu,XLPE 90°C,PVC,No Shield,628.56,0.007892522,0.005412903,0.0057439,300,0.007558566,0.0049132,0.0057439,120,Cu,0.013369509,0.011857,0.006177,,71,242.3,0.97,71.64,40,,400,1.17,4.69,2.15232,4.02,2.52,500,1,0,32.72,16.15,6.62, ,0.032801,0.211151,952.82,26637.67,,,0.97,,0.97,0,,,,,2104141706,265959804.8,2500204.581,821156.2571
C317,MDB-3-B,DB-L2-PLANT-B.01,P50,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.028473179,0.027392755,0.0077691,70,0.026371373,0.025201,0.0077691,25,Cu,0.06888608,0.068266,0.009222,,87,183.4,0.97,63.62,40,,400,1.9,7.59,2.15232,4.75,3.25,160,1,0,32.72,7.25,2.04, ,0.106657,0.659846,276.66,7552.6,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,1386404.243,263393.8246
C318,MDB-3-B,DB-L3-PLANT-B.01,P53,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.011454727,0.011020074,0.0031255,70,0.010609173,0.010138333,0.0031255,25,Cu,0.027712791,0.027463333,0.00371,,35,183.4,0.97,63.62,40,,400,0.76,3.05,2.15232,3.61,2.11,160,1,0,32.72,14.21,4.44, ,0.048933,0.659846,111.3,3038.4,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,1386404.243,1251368.9
C319,MDB-3-B,DB-L3-PLANT-B.02,P56,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.023236733,0.022355007,0.0063403,70,0.021521465,0.020566333,0.0063403,25,Cu,0.056217376,0.055711333,0.007526,,71,183.4,0.97,63.62,40,,400,1.55,6.2,2.15232,4.4,2.9,160,1,0,32.72,8.56,2.44, ,0.088847,0.659846,225.78,6163.62,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,1386404.243,379570.5716
C320,MDB-3-B,DB-G-ICU1-B.01,P59,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.020044831,0.018102039,0.0086088,120,0.019085822,0.017034,0.0086088,35,Cu,0.058610497,0.057698,0.010302,,102,148,0.97,57.45,40,,400,1.57,6.27,2.15232,4.42,2.92,200,1,0,32.72,9.35,2.46, ,0.088148,0.123343,537.54,15758.21,,,0.97,,0.97,0,,,,,371459540.6,22625052.84,2066235.572,385618.354
C321,MDB-3-B,DB-G-ICU2-B.01,P62,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.019062241,0.017214684,0.0081868,120,0.018150242,0.016199,0.0081868,35,Cu,0.055737434,0.054869667,0.009797,,97,260.3,0.97,57.45,40,,400,1.49,5.96,2.15232,4.34,2.84,200,1,0,32.72,9.71,2.57, ,0.084332,0.527877,511.19,14985.75,,,0.97,,0.97,0,,,,,371459540.6,22625052.84,2066235.572,421307.5234
C322,MDB-3-B,DB-G-00-B.01,P65,Olex,BDBP23AA001,,6,2,S.D.I,120,Cu,XLPE 90°C,PVC,No Shield,338.53,0.004844469,0.004400661,0.0020256,120,0.004490782,0.004008,0.0020256,35,Cu,0.013790705,0.013576,0.002424,,24,201.5,0.97,67.27,40,,400,0.48,1.91,0.95659,3.32,1.82,250,1,0,32.72,21.15,7.45, ,0.029147,0.422302,126.48,3707.82,,,0.97,,0.97,0,,,,,347207226.9,22625052.84,2066235.572,672953.5514
C324,DB-G-00-B.01,DB-L1-00-B.01,P2,Olex,,,5,2,"Circ, 4C&E",6,Cu,XLPE 90°C,PVC,No Shield,48,0.074921667,0.07489625,0.0019514,6,0.073066063,0.07304,0.0019514,2.5,Cu,0.175940094,0.175926667,0.0021736,No,22,51.5,1,47.03,40,,400,0.58,2.34,1.67593,3.91,2.41,18,1,0,21.15,2.95,0.78,P,0.277044,0.61368,,,,,1,,1,0,,,,Preliminary,995281.5324,180842.2115,100000,1561.5025
C325,DB-G-00-B.01,DB-L2-00-B.01,P5,Olex,,,5,2,"Circ, 4C&E",6,Cu,XLPE 90°C,PVC,No Shield,48,0.099830783,0.099795313,0.002661,6,0.09963554,0.0996,0.002661,2.5,Cu,0.23991831,0.2399,0.002964,No,30,51.9,1,40.54,40,,400,0.22,0.86,1.67593,3.54,2.04,5,1,0,21.15,2.27,0.59,P,0.365997,0.61368,,,,,1,,1,0,,,,Preliminary,1038031.183,180842.2115,100000,894.7143311
C323,MDB-3-B,DB-G-DAS,P68,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.037211444,0.036685658,0.0062333,50,0.035276737,0.034721667,0.0062333,16,Cu,0.102860567,0.102643333,0.0066815,No,83,209,1,55.43,40,,400,1.59,6.35,2.15232,4.44,2.94,100,1,0,32.72,5.85,1.46, ,0.149133,0.3964,557.76,6527.36,,,1,,1,0,,,,,65373250.15,7407296.985,953796.5434,21674.1381
,T2,MSB-2 (Bus A),,Olex-Pyrolex,,Fire Rated,6,2,S.D.I,7×300,Cu,PYROLEX,HFS-110-TP,No Shield,4750.2,4.77E-05,3.23E-05,3.51E-05,7×300,4.58E-05,2.94E-05,3.51E-05,No Earth,Cu,0,0,0,,3,223.1,0.87,69.55,40,,400,0.04,0.16,0.05412,1.54,0.04,2700,1,0,45.05,44.7,39.33, ,0.005519,0.020352,,,,,0.87,,0.87,0,,,,,2410953738,0,385633312.9,0
,G-02,MSB-2 (Bus D),,Olex,BDBP30AA001,,6,2,S.D.I,4×500,Cu,XLPE 90°C,PVC,No Shield,3496,7.12E-05,3.88E-05,5.97E-05,4×500,6.90E-05,3.45E-05,5.97E-05,500,Cu,0.000282113,0.0001381,0.000246,,3,175.5,1,84.31,40,,400,0.06,0.22,0.47848,0.06,0.06,0,1,0,23.79,23.63,19.46, ,0.011156,0.031461,250.41,7119.48,,,1,1,1,0,,,,,5328661876,3954964272,265911985.5,226303504
,G-02,MSB-2 (Bus D),,Olex,BDBP30AA001,,6,2,S.D.I,4×500,Cu,XLPE 90°C,PVC,No Shield,3496,7.12E-05,3.88E-05,5.97E-05,4×500,6.90E-05,3.45E-05,5.97E-05,500,Cu,0.000282113,0.0001381,0.000246,,3,175.5,1,84.31,40,,400,0.06,0.22,0.47848,0.06,0.06,0,1,0,23.79,23.63,19.46, ,0.011156,0.031461,250.41,7119.48,,,1,1,1,0,,,,,5328661876,3954964272,265911985.5,226303504
,MSB-2 (Bus D),MSSB-5,P2,Olex,BDBP26AA001,,6,2,S.D.I,3×240,Cu,XLPE 90°C,PVC,No Shield,1461.6,0.000427251,0.000328932,0.000272667,3×240,0.000392664,0.000282556,0.000272667,185,Cu,0.001389656,0.00109,0.000862,,10,146.3,0.87,88.53,40,,400,0.21,0.82,0.2051,1.75,0.25,1440,1,0,44.7,41.93,30.59,I,0.007096,0.081931,314.1,9017.63,,,0.87,,0.87,0,,,,,1189078870,632116272.1,43868303.74,30592613.7
C414,MSSB-5,MSSB-L2-02B,P2,Olex,HTHC18AA004,,5,2,"Circ, 4C&E",35,Cu,XLPE 90°C,PVC,No Shield,147,0.091817804,0.090974076,0.0124188,35,0.090234011,0.089375333,0.0124188,10,Cu,0.312069017,0.311786667,0.013272,No,158,244.6,1,44.9,40,,400,1.81,7.25,3.25456,3.56,2.06,46,1,0,41.93,2.59,0.53, ,0.407691,0.629206,791.58,8962.34,,,1,,1,0,,,,Designed,34342152.22,2893475.385,1281258.794,612444.3572
C401,MSSB-5,MSSB-L2-04,P5,Olex,BDBP23AA001,,6,2,S.D.I,2×120,Cu,XLPE 90°C,PVC,No Shield,621.22,0.016725234,0.015068148,0.0072584,300,0.018310893,0.0119024,0.0139148,120,Cu,0.032388107,0.028724,0.014964,,172,243.3,0.89,53.69,40,,400,2.12,8.48,3.25456,3.87,2.37,325,1,0,41.93,11.51,3.95,P,0.054897,0.113029,1998.64,57872.13,,,0.89,,0.89,0,,,,Designed,380982244.9,265959804.8,2788750.836,994209.6529
,G-02,MSB-2 (Bus D),,Olex,BDBP30AA001,,6,2,S.D.I,4×500,Cu,XLPE 90°C,PVC,No Shield,3496,7.12E-05,3.88E-05,5.97E-05,4×500,6.90E-05,3.45E-05,5.97E-05,500,Cu,0.000282113,0.0001381,0.000246,,3,175.5,1,84.31,40,,400,0.06,0.22,0.47848,0.06,0.06,0,1,0,23.79,23.63,19.46, ,0.011156,0.031461,250.41,7119.48,,,1,1,1,0,,,,,5328661876,3954964272,265911985.5,226303504
,MSB-2 (Bus E),MDB-B-1 (STAGE 2A),P5,Olex,BDBP26AA001,,6,2,S.D.I,2×240,Cu,XLPE 90°C,PVC,No Shield,996.8,0.000623038,0.000469995,0.000409,2×240,0.000588995,0.000423833,0.000409,120,Cu,0.001883029,0.00167,0.00087,,10,184.3,0.89,72.21,40,,400,0.16,0.65,0.18113,1.7,0.2,800,1,0,44.7,40.7,28.72,I,0.007559,0.070773,208.6,6024.49,,,0.89,,0.89,0,,,,,1341220517,265959804.8,11968003.1,9141907.466
,MDB-B-1 (STAGE 2A),DB-UPS-L3,P2,Olex,BDBC19AA001,,6,2,S.D.I,50,Cu,XLPE 90°C,PVC,No Shield,182.36,0.004503004,0.004407184,0.000924,50,0.004287418,0.004186667,0.000924,16,Cu,0.012416382,0.012366667,0.00111,,10,116.9,0.97,55.04,40,,400,0.19,0.76,0.19084,1.89,0.39,100,1,0,40.7,26.53,9.75, ,0.022265,0.202891,22.5,618.9,,,0.97,,0.97,0,,,,,65547632.93,4728174.307,1305927.374,689982.6828
C409,DB-UPS-L3,DB-G-IMG-U.01,P2,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.074259826,0.073140975,0.0128421,50,0.072678578,0.071535,0.0128421,16,Cu,0.211917554,0.21147,0.0137655,No,171,219.7,1,46.13,40,,400,2,7.98,3.60601,3.39,2.39,63,1,0,26.53,2.99,0.7, ,0.308081,0.389638,1149.12,13447.94,,,1,,1,0,,,,Designed,69527266.1,7407296.985,77287.96875,1262.728249
C410,DB-UPS-L3,DB-L1-UPS-RCVY,P5,Olex,HTHC18AA004,,5,2,"Circ, 4C&E",35,Cu,XLPE 90°C,PVC,No Shield,147,0.050142019,0.049694932,0.006681,35,0.048543614,0.048081667,0.006681,10,Cu,0.167885231,0.167733333,0.00714,No,85,143.6,1,49.18,40,,400,1.36,5.42,3.10601,3.25,1.75,63,1,0,26.53,4.24,0.91, ,0.239352,0.389638,425.85,4821.51,,,1,,1,0,,,,,33392073.22,2893475.385,77287.96875,4977.11113
,MDB-B-1 (STAGE 2A),MDB-B-3 (STAGE 3A),P5,Olex-Versolex,BDSE90AA001,Flexible,16,2,Flex S.D.I.,240,Cu,XLPE 90°C,TPE,No Shield,536.41,0.000915548,0.000774776,0.0004878,240,0.000856155,0.0007036,0.0004878,95,Cu,0.001366277,0.001254,0.0005424,,6,134.1,0.97,67.8,40,,400,0.13,0.54,0.1393,1.84,0.34,400,1,0,40.7,36.2,22.74, ,0.009545,0.263939,63.78,1861.17,,,0.97,,0.97,0,,,,Preliminary,1383631601,166686613.8,1890335.097,1517532.554
C405,MDB-B-3 (STAGE 3A),MSSB-3APATH.01,P2,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.055199426,0.054933319,0.0054136,25,0.052850661,0.052572667,0.0054136,6,Cu,0.222519374,0.22244,0.0059429,No,67,143.2,1,52.29,40,,400,1.4,5.61,3.16265,3.24,1.74,59,1,0,36.2,4.15,0.76, ,0.283883,1.319693,249.24,2565.52,,,1,,1,0,,,,,16690050.16,1041651.138,1250578.683,135493.9227
C406,MDB-B-3 (STAGE 3A),MSSB-3AIMG.01,P5,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.051281439,0.051028167,0.0050904,25,0.049695397,0.049434,0.0050904,6,Cu,0.209234635,0.20916,0.0055881,No,63,171.1,1,48.83,40,,400,1.1,4.42,3.16265,2.94,1.44,50,1,0,36.2,4.45,0.81, ,0.266752,1.319693,234.36,2412.36,,,1,,1,0,,,,,17076808.97,1041651.138,1250578.683,133733.694
C407,MDB-B-3 (STAGE 3A),DB-G-PATH.01,P8,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.030716299,0.03030137,0.0050317,50,0.028476402,0.028028333,0.0050317,16,Cu,0.083032024,0.082856667,0.0053935,No,67,127.7,1,62.22,40,,400,1.57,6.3,3.16265,3.41,1.91,120,1,0,36.2,7,1.8,P,0.120589,0.710946,450.24,5269.07,,,1,,1,0,,,,,62425917.09,7407296.985,1447036.752,259256.0192
C408,MDB-B-3 (STAGE 3A),DB-G-IMG.01,P11,Olex,BDBC22AA001,,6,2,S.D.I,95,Cu,XLPE 90°C,PVC,No Shield,289.06,0.022434893,0.020965558,0.0079856,95,0.020820322,0.019228,0.0079856,25,Cu,0.07284505,0.072189333,0.009752,,92,152,0.97,63.94,40,,400,1.82,7.26,2.13944,3.65,2.15,200,1,0,36.2,8.84,2.13, ,0.102141,0.527877,395.6,11102.88,,,0.97,,0.97,0,,,,,222710410.2,11543394.3,2165139.449,861588.4853
C404,DB-G-IMG.01,DB-XRAY,P2,Olex,HTHC17AA004,,5,2,"Circ, 4C&E",25,Cu,XLPE 90°C,PVC,No Shield,119,0.01823333,0.018146473,0.0017776,25,0.017353948,0.017262667,0.0017776,6,Cu,0.073066063,0.07304,0.0019514,No,22,133.3,1,54.01,40,,400,0.5,1.98,1.34698,4.15,2.65,63,1,0,8.84,5.46,1.13, ,0.19247,1.6758,81.84,842.41,,,1,,1,0,,,,,16499392.72,1041651.138,584958.1555,129412.5085
C403,DB-G-IMG.01,CT,P5,Olex,BDBC20AA001,,6,2,S.D.I,70,Cu,XLPE 90°C,PVC,No Shield,232.8,0.007200114,0.006926904,0.0019646,70,0.006668623,0.006372667,0.0019646,25,Cu,0.017419469,0.017262667,0.002332,,22,137.5,0.97,63.62,40,,400,0.48,1.92,1.34698,4.13,2.63,160,1,0,8.84,7.06,1.71, ,0.126654,0.659846,69.96,1909.85,,,0.97,,0.97,0,,,,,121183674.7,11543394.3,619220.0427,298855.8406
C402,DB-G-IMG.01,FLUROSCOPY,P8,Olex,HTHC18AA004,,5,2,"Circ, 4C&E",35,Cu,XLPE 90°C,PVC,No Shield,147,0.026462893,0.026235933,0.0034584,35,0.025128459,0.024889333,0.0034584,10,Cu,0.086905296,0.086826667,0.003696,No,44,145.2,1,54.81,40,,400,0.91,3.64,1.34698,4.56,3.06,80,1,0,8.84,4.61,1.01, ,0.21474,1.319693,220.44,2495.84,,,1,,1,0,,,,,32167186.43,2893475.385,584958.1555,103961.9417
C411,MDB-B-3 (STAGE 3A),DB-G-EVH.01,P14,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.007256613,0.007168642,0.0011265,50,0.006375314,0.006275,0.0011265,25,Cu,0.011832237,0.01177,0.001212,No,15,90.6,1,79.51,40,,400,0.5,1.99,3.16265,2.33,0.83,160,1,0,36.2,19.79,8.09,I,0.026826,0.659846,100.8,1179.64,,,1,,1,0,,,,,55217742.21,18084221.15,1447036.752,637695.7183
,MSB-2 (Bus F),MDB-B-2 (STAGE 2A),P2,Olex,BDBP26AA001,,6,2,S.D.I,2×240,Cu,XLPE 90°C,PVC,No Shield,996.8,0.000609919,0.000452461,0.000409,2×240,0.000588995,0.000423833,0.000409,120,Cu,0.001883029,0.00167,0.00087,,10,243.1,0.89,59.97,40,,400,0.12,0.49,0.32949,1.66,0.16,630,1,0,44.7,40.74,28.75,I,0.00755,0.16758,208.6,6024.49,,,0.89,,0.89,0,,,,,1460617234,265959804.8,2864561.057,2489598.781
C412,MDB-B-2 (STAGE 2A),"DB MRI (FUTURE, PROVIDE 15m CABLE COIL)",P2,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.043812825,0.04322803,0.0071345,50,0.040376988,0.039741667,0.0071345,16,Cu,0.117731975,0.117483333,0.0076475,No,95,121.8,1,64.11,40,,400,2.34,9.36,3.83623,3.5,2.5,125,1,0,40.74,5.2,1.31,P,0.166129,0.710946,638.4,7471.08,,,1,,1,0,,,,,61617350.78,7407296.985,1519488.066,457601.5042
C413,MDB-B-2 (STAGE 2A),"MSSB-MRI.01 MRI (FUTURE, PROVIDE 15m CABLE COIL)",P5,Olex,HTHC19AA004,,5,2,"Circ, 4C&E",50,Cu,XLPE 90°C,PVC,No Shield,180,0.034127885,0.03367236,0.0055574,50,0.031451549,0.030956667,0.0055574,16,Cu,0.091707012,0.091513333,0.005957,No,74,121.8,1,64.11,40,,400,1.82,7.29,3.33623,3.49,1.99,125,1,0,40.74,6.54,1.66,P,0.130457,0.710946,497.28,5819.57,,,1,,1,0,,,,,61617350.78,7407296.985,1519488.066,528159.5164
,T3,MSB-01,,Olex-Versolex,BDSX01AA001,Flexible,16,2,Flex S.D.I.,10,Cu,XLPE 90°C,TPE,No Shield,66.93,0.010684386,0.0106784,0.0003576,10,0.010684386,0.0106784,0.0003576,No Earth,Cu,0,0,0,,3,170,0.97,40,40,,400,0,0,3.5,1.5,0,0,1,0,2.84,2.71,2.28,I,0.095372,1.284794,1.68,49.62,,,0.97,,0.97,0,,,,Preliminary,2893475.385,0,49957.96064,0
